Parameter;Methode;Frequentie;beheercode;AantalJaar;AantalJaarControl
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.01;6;
structuurelementen;Bepaling bedekking;6 jaar;N12.02;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.02;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N12.02;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.02;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.03;6;
dagvlinders;Inventarisatie kwalificerende soorten;6 jaar;N12.03;6;
vegetatie;Vegetatiekartering;12 jaar;N12.03;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.03;6;
structuurelementen;Bepaling bedekking;6 jaar;N12.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.04;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N12.04;6;
vegetatie;Vegetatiekartering;12 jaar;N12.04;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N12.04;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N12.05;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N12.05;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N12.06;6;
broedvogels;Inventarisatie kwalificerende soorten;3 jaar;N13.01;3;
bepaling abiotiek;Diverse methoden;6 jaar;N13.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N13.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N13.02;6;
wintergasten;Wintertelling;1 jaar;N13.02;1;
structuurelementen;Bosstructuurkartering;12 jaar;N14.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N14.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N14.01;6;
bepaling abiotiek;Diverse methoden;6 jaar;N14.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N14.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N14.01;6;
vegetatie;Vegetatiekartering;12 jaar;N14.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N14.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N14.02;6;
bepaling abiotiek;Diverse methoden;6 jaar;N14.02;6;
stikstof;Opvragen depositie;6 jaar;N14.02;6;
vegetatie;Vegetatiekartering;12 jaar;N14.02;12;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N14.02;6;
structuurelementen;Bosstructuurkatering;12 jaar;N14.03;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N14.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N14.03;6;
vegetatie;Alleen kartering indien Natura2000-gebied;12 jaar;N14.03;12;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N14.03;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N14.03;6;
bepaling abiotiek;Diverse methoden;6 jaar;N14.03;6;
structuurelementen;Bosstructuurkartering;12 jaar;N15.01;12;
planten;Inventarisatie kwalificerende soorten;6 jaar;N15.01;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N15.01;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N15.01;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N15.01;6;
structuurelementen;Bosstructuurkartering;12 jaar;N15.02;12;
planten;Inventarisatie kwalificerende soorten;12 jaar;N15.02;12;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N15.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N15.02;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N15.02;6;
structuurelementen;Bosstructuurkartering;12 jaar;N16.04;12;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N16.04;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N16.04;6;
ruimtelijke condities;GIS-analyse en veldwaarneming;6 jaar;N16.04;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.02;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.02;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.03;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.03;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N17.05;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.05;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.05;6;
planten;Inventarisatie kwalificerende soorten;6 jaar;N17.06;6;
broedvogels;Inventarisatie kwalificerende soorten;6 jaar;N17.06;6;
stikstofdepositie;Opvragen stikstofdepositie;6 jaar;N17.06;6;
